utc,commit,env,board,app,mode,split,metric,value
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,inherit,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,interfacedemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,lambdademo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,listdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,mathsdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,stringdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,syncdemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,threaddemo,none,holdout,oom_count,0
2026-04-07T09:20:58Z,81dfce9,sim,testbench_rp2350,trywithresourcesdemo,none,holdout,oom_count,0
2026-04-07T09:43:47Z,247b13b,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-07T09:43:47Z,247b13b,sim,testbench_rp2350,exceptiondemo,none,holdout,oom_count,0
2026-04-07T09:43:47Z,247b13b,sim,testbench_rp2350,gcstress,none,holdout,oom_count,0
2026-04-07T09:43:47Z,247b13b,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-07T09:45:38Z,247b13b,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-07T09:46:16Z,247b13b,sim,testbench_rp2350,helloworld,none,holdout,oom_count,0
2026-04-07T09:46:45Z,247b13b,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,arraydemo,none,holdout,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,oom_count,0
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_array_operations_ms,124
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_control_flow_ms,40
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_double_arithmetic_ms,55
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_float_arithmetic_ms,54
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_int_arithmetic_ms,82
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_interface_dispatch_ms,43
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_long_arithmetic_ms,33
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_method_dispatch_ms,57
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_object_allocation_ms,25
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,test_string_operations_ms,27
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,benchmark,none,train,wall_ms,546
2026-04-07T09:50:51Z,247b13b,sim,testbench_rp2350,blinky,none,holdout,oom_count,0
